,N° Etudiant,Nom,Prénom,Moyenne,Grade,Grade ECTS,code_UE,libelle_UE,responsable_UE,annee,nom_UV,code_UV,note,lieu
4078,2015_9b2d,Johnson,Raymond,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4079,2015_5989,Crespo,Richard,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4080,2015_040e,Coleman,Loretta,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4081,2015_ae9f,Tague,Joe,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4082,2015_9694,Wright,Alex,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4083,2015_5d51,Rainey,Maria,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4084,2015_a66c,Cardiel,Eric,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4085,2015_8dc4,Mclendon,Alex,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4086,2015_7722,Dresser,Randy,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4087,2015_957b,Bowman,Harold,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4088,2015_2ccf,Nesbit,Maggie,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
4089,2015_6d30,Zwiebel,John,10,atteint,A,STB-A1-S2,STB : Mise en oeuvre des connaissances et savoir,BATIGNE Guillaume,1ère année d'ingénieur 2014-2015,Physique-Chimie,1A-S2-PHY,=,Nantes
